2016-02-19 16:03:38,922 |OFBiz-config-0       |DatabaseUtil                  |W| Table named [WEB_PAGE] exists in the database but has no corresponding entity
2016-02-19 16:03:38,922 |OFBiz-config-0       |DatabaseUtil                  |W| Table named [WORK_EFFORT_SURVEY_APPL] exists in the database but has no corresponding entity
2016-02-19 16:03:38,922 |OFBiz-config-0       |DatabaseUtil                  |W| Table named [WORK_EFFORT_TRANS_BOX] exists in the database but has no corresponding entity
2016-02-19 16:03:38,922 |OFBiz-config-0       |DatabaseUtil                  |W| Table named [WORK_EFFORT_TYPE] exists in the database but has no corresponding entity
2016-02-19 16:03:38,922 |OFBiz-config-0       |DatabaseUtil                  |W| Table named [WORK_EFFORT_TYPE_ATTR] exists in the database but has no corresponding entity
2016-02-19 16:03:38,922 |OFBiz-config-0       |DatabaseUtil                  |W| Table named [WORK_ORDER_ITEM_FULFILLMENT] exists in the database but has no corresponding entity
2016-02-19 16:03:38,922 |OFBiz-config-0       |DatabaseUtil                  |W| Table named [WORK_REQUIREMENT_FULFILLMENT] exists in the database but has no corresponding entity
2016-02-19 16:03:38,922 |OFBiz-config-0       |DatabaseUtil                  |W| Table named [WORK_REQ_FULF_TYPE] exists in the database but has no corresponding entity
2016-02-19 16:03:38,922 |OFBiz-config-0       |DatabaseUtil                  |W| Table named [X509_ISSUER_PROVISION] exists in the database but has no corresponding entity
2016-02-19 16:03:38,922 |OFBiz-config-0       |DatabaseUtil                  |W| Table named [ZIP_SALES_RULE_LOOKUP] exists in the database but has no corresponding entity
2016-02-19 16:03:38,922 |OFBiz-config-0       |DatabaseUtil                  |W| Table named [ZIP_SALES_TAX_LOOKUP] exists in the database but has no corresponding entity
2016-02-19 16:03:38,937 |main                 |ServiceDispatcher             |I| [ServiceDispatcher] : Creating new instance.
2016-02-19 16:03:38,955 |main                 |ServiceGroupReader            |I| Loaded [  1] Group definitions from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework/common/servicedef/groups_test.xml
2016-02-19 16:03:38,957 |main                 |ServiceGroupReader            |I| Loaded [  4] Group definitions from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework/entityext/servicedef/groups.xml
2016-02-19 16:03:38,959 |main                 |ServiceGroupReader            |I| Loaded [  2] Group definitions from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/workeffort/servicedef/service_groups.xml
2016-02-19 16:03:38,961 |main                 |ServiceGroupReader            |I| Loaded [  4] Group definitions from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/accounting/servicedef/groups.xml
2016-02-19 16:03:38,972 |OFBiz-config-1       |ServiceEcaUtil                |I| Loaded [  0] Service ECA Rules from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework/common/servicedef/secas_cdyne.xml
2016-02-19 16:03:38,978 |OFBiz-config-2       |ServiceEcaUtil                |I| Loaded [  4] Service ECA Rules from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework/common/servicedef/secas_test.xml
2016-02-19 16:03:38,981 |OFBiz-config-0       |ServiceEcaUtil                |I| Loaded [ 22] Service ECA Rules from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/party/servicedef/secas.xml
2016-02-19 16:03:38,981 |OFBiz-config-1       |ServiceEcaUtil                |I| Loaded [ 28] Service ECA Rules from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/content/servicedef/secas.xml
2016-02-19 16:03:38,984 |OFBiz-config-3       |ServiceEcaUtil                |I| Loaded [  3] Service ECA Rules from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework/service/servicedef/secas_test_se.xml
2016-02-19 16:03:38,985 |OFBiz-config-0       |ServiceEcaUtil                |I| Loaded [ 24] Service ECA Rules from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/product/servicedef/secas.xml
2016-02-19 16:03:38,987 |OFBiz-config-3       |ServiceEcaUtil                |I| Loaded [  2] Service ECA Rules from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/product/servicedef/secas_olap.xml
2016-02-19 16:03:38,988 |OFBiz-config-0       |ServiceEcaUtil                |I| Loaded [  4] Service ECA Rules from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/manufacturing/servicedef/secas.xml
2016-02-19 16:03:38,990 |OFBiz-config-3       |ServiceEcaUtil                |I| Loaded [ 21] Service ECA Rules from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/accounting/servicedef/secas.xml
2016-02-19 16:03:38,990 |OFBiz-config-0       |ServiceEcaUtil                |I| Loaded [  8] Service ECA Rules from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/accounting/servicedef/secas_payment.xml
2016-02-19 16:03:38,993 |OFBiz-config-1       |ServiceEcaUtil                |I| Loaded [ 23] Service ECA Rules from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/product/servicedef/secas_shipment.xml
2016-02-19 16:03:38,997 |OFBiz-config-3       |ServiceEcaUtil                |I| Loaded [ 22] Service ECA Rules from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/accounting/servicedef/secas_ledger.xml
2016-02-19 16:03:39,014 |OFBiz-config-0       |ServiceEcaUtil                |I| Loaded [  1] Service ECA Rules from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/accounting/servicedef/secas_olap.xml
2016-02-19 16:03:39,021 |OFBiz-config-2       |ServiceEcaUtil                |I| Loaded [ 10] Service ECA Rules from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/workeffort/servicedef/secas.xml
2016-02-19 16:03:39,040 |OFBiz-config-1       |ServiceEcaUtil                |I| Loaded [  6] Service ECA Rules from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/accounting/servicedef/secas_invoice.xml
2016-02-19 16:03:39,055 |OFBiz-config-3       |ServiceEcaUtil                |I| Loaded [ 76] Service ECA Rules from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/order/servicedef/secas.xml
2016-02-19 16:03:39,058 |OFBiz-config-2       |ServiceEcaUtil                |I| Loaded [  0] Service ECA Rules from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/commonext/servicedef/secas.xml
2016-02-19 16:03:39,065 |OFBiz-config-0       |ServiceEcaUtil                |I| Loaded [ 10] Service ECA Rules from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/marketing/servicedef/secas.xml
2016-02-19 16:03:39,331 |OFBiz-JobPoller      |JobPoller                     |I| JobPoller thread started.
2016-02-19 16:03:39,332 |tenerFactory@7d45ffd |JmsListenerFactory            |I| Starting JMS Listener Factory Thread
2016-02-19 16:03:39,333 |tenerFactory@7d45ffd |JmsListenerFactory            |I| JMS Listener Factory Thread Finished; All listeners connected.
2016-02-19 16:03:39,362 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [  2] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework/common/servicedef/services_cdyne.xml
2016-02-19 16:03:39,366 |OFBiz-config-2       |ModelServiceReader            |I| Loaded [ 15] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework/common/servicedef/services_email.xml
2016-02-19 16:03:39,368 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [ 12] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework/common/servicedef/services_security.xml
2016-02-19 16:03:39,376 |OFBiz-config-2       |ModelServiceReader            |I| Loaded [ 40] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework/common/servicedef/services_test.xml
2016-02-19 16:03:39,377 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [ 11] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework/service/servicedef/services.xml
2016-02-19 16:03:39,381 |OFBiz-config-2       |ModelServiceReader            |I| Loaded [ 18] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework/service/servicedef/services_test_se.xml
2016-02-19 16:03:39,383 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [  2] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework/common/servicedef/services_olap.xml
2016-02-19 16:03:39,387 |OFBiz-config-2       |ModelServiceReader            |I| Loaded [  3] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework/bi/servicedef/services.xml
2016-02-19 16:03:39,392 |OFBiz-config-1       |ModelServiceReader            |I| Loaded [ 99] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework/common/servicedef/services.xml
2016-02-19 16:03:39,395 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [  1] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework/testtools/servicedef/services.xml
2016-02-19 16:03:39,397 |OFBiz-config-2       |ModelServiceReader            |I| Loaded [ 10] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework/webtools/servicedef/services.xml
2016-02-19 16:03:39,399 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [ 12] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/party/servicedef/services_view.xml
2016-02-19 16:03:39,408 |OFBiz-config-2       |ModelServiceReader            |I| Loaded [  1] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/securityext/servicedef/services.xml
2016-02-19 16:03:39,430 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [125] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/content/servicedef/services.xml
2016-02-19 16:03:39,432 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [ 41] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework/entityext/servicedef/services.xml
2016-02-19 16:03:39,441 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [ 28] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/content/servicedef/services_data.xml
2016-02-19 16:03:39,445 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [  2] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/content/servicedef/services_output.xml
2016-02-19 16:03:39,452 |OFBiz-config-2       |ModelServiceReader            |I| Loaded [ 25] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/content/servicedef/services_content.xml
2016-02-19 16:03:39,458 |OFBiz-config-2       |ModelServiceReader            |I| Loaded [  5] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/content/servicedef/services_commevent.xml
2016-02-19 16:03:39,460 |OFBiz-config-1       |ModelServiceReader            |I| Loaded [156] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/party/servicedef/services.xml
2016-02-19 16:03:39,464 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [ 42] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/content/servicedef/services_survey.xml
2016-02-19 16:03:39,470 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [ 35] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/content/servicedef/services_contenttypes.xml
2016-02-19 16:03:39,471 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [ 17] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/workeffort/servicedef/services_timesheet.xml
2016-02-19 16:03:39,477 |OFBiz-config-2       |ModelServiceReader            |I| Loaded [ 19] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/content/servicedef/services_website.xml
2016-02-19 16:03:39,483 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [  1] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/workeffort/servicedef/services_upgrade.xml
2016-02-19 16:03:39,489 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [ 30] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/product/servicedef/services_feature.xml
2016-02-19 16:03:39,493 |OFBiz-config-1       |ModelServiceReader            |I| Loaded [ 99] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/workeffort/servicedef/services.xml
2016-02-19 16:03:39,499 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [ 22] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/product/servicedef/services_maint.xml
2016-02-19 16:03:39,500 |OFBiz-config-1       |ModelServiceReader            |I| Loaded [ 22] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/product/servicedef/services_picklist.xml
2016-02-19 16:03:39,509 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [ 40] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/product/servicedef/services_pricepromo.xml
2016-02-19 16:03:39,522 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [  3] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/product/servicedef/services_shipment_dhl.xml
2016-02-19 16:03:39,526 |OFBiz-config-1       |ModelServiceReader            |I| Loaded [  6] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/product/servicedef/services_shipmentgateway.xml
2016-02-19 16:03:39,531 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [204] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/product/servicedef/services.xml
2016-02-19 16:03:39,537 |OFBiz-config-2       |ModelServiceReader            |I| Loaded [107] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/product/servicedef/services_facility.xml
2016-02-19 16:03:39,539 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [  2] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/product/servicedef/services_shipment_fedex.xml
2016-02-19 16:03:39,541 |OFBiz-config-1       |ModelServiceReader            |I| Loaded [  9] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/product/servicedef/services_shipment_ups.xml
2016-02-19 16:03:39,545 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [ 10] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/product/servicedef/services_shipment_usps.xml
2016-02-19 16:03:39,550 |OFBiz-config-2       |ModelServiceReader            |I| Loaded [ 98] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/product/servicedef/services_shipment.xml
2016-02-19 16:03:39,557 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [ 47] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/product/servicedef/services_store.xml
2016-02-19 16:03:39,563 |OFBiz-config-1       |ModelServiceReader            |I| Loaded [ 16] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/product/servicedef/services_subscription.xml
2016-02-19 16:03:39,566 |OFBiz-config-2       |ModelServiceReader            |I| Loaded [ 13] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/product/servicedef/services_view.xml
2016-02-19 16:03:39,569 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [  2] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/product/servicedef/services_rental.xml
2016-02-19 16:03:39,573 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [  3] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/product/servicedef/services_upgrade.xml
2016-02-19 16:03:39,579 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [ 15] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/product/servicedef/services_cost.xml
2016-02-19 16:03:39,582 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [  1] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/manufacturing/servicedef/services.xml
2016-02-19 16:03:39,583 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [ 12] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/manufacturing/servicedef/services_calendar.xml
2016-02-19 16:03:39,584 |OFBiz-config-1       |ModelServiceReader            |I| Loaded [  2] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/product/servicedef/services_uom.xml
2016-02-19 16:03:39,590 |OFBiz-config-2       |ModelServiceReader            |I| Loaded [  6] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/product/servicedef/services_olap.xml
2016-02-19 16:03:39,596 |OFBiz-config-2       |ModelServiceReader            |I| Loaded [  5] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/manufacturing/servicedef/services_mrp.xml
2016-02-19 16:03:39,600 |OFBiz-config-2       |ModelServiceReader            |I| Loaded [  5] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/manufacturing/servicedef/services_formula.xml
2016-02-19 16:03:39,603 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [ 34] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/manufacturing/servicedef/services_production_run.xml
2016-02-19 16:03:39,607 |OFBiz-config-2       |ModelServiceReader            |W| No parameter found for override parameter named: agreementText in service createAgreementTerm
2016-02-19 16:03:39,607 |OFBiz-config-2       |ModelServiceReader            |I| Loaded [ 31] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/accounting/servicedef/services_agreement.xml
2016-02-19 16:03:39,611 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [ 13] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/accounting/servicedef/services_admin.xml
2016-02-19 16:03:39,617 |OFBiz-config-2       |ModelServiceReader            |I| Loaded [  9] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/accounting/servicedef/services_billing.xml
2016-02-19 16:03:39,620 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [ 58] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/accounting/servicedef/services_finaccount.xml
2016-02-19 16:03:39,627 |OFBiz-config-2       |ModelServiceReader            |I| Loaded [ 39] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/accounting/servicedef/services_fixedasset.xml
2016-02-19 16:03:39,628 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [ 50] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/accounting/servicedef/services_invoice.xml
2016-02-19 16:03:39,633 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [ 26] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/accounting/servicedef/services_payment.xml
2016-02-19 16:03:39,634 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [  5] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/manufacturing/servicedef/services_routing.xml
2016-02-19 16:03:39,642 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [ 12] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/accounting/servicedef/services_paymentgateway.xml
2016-02-19 16:03:39,642 |OFBiz-config-1       |ModelServiceReader            |I| Loaded [ 13] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/manufacturing/servicedef/services_bom.xml
2016-02-19 16:03:39,648 |OFBiz-config-1       |ModelServiceReader            |I| Loaded [ 25] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/accounting/servicedef/services_tax.xml
2016-02-19 16:03:39,654 |OFBiz-config-1       |ModelServiceReader            |I| Loaded [ 10] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/accounting/servicedef/services_cost.xml
2016-02-19 16:03:39,657 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [  5] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/accounting/servicedef/services_rate.xml
2016-02-19 16:03:39,658 |OFBiz-config-1       |ModelServiceReader            |I| Loaded [  2] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/accounting/servicedef/services_olap.xml
2016-02-19 16:03:39,662 |OFBiz-config-1       |ModelServiceReader            |I| Loaded [  6] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/accounting/servicedef/services_authorizedotnet.xml
2016-02-19 16:03:39,662 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [  9] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/accounting/servicedef/services_sagepay.xml
2016-02-19 16:03:39,665 |OFBiz-config-1       |ModelServiceReader            |I| Loaded [  6] Services from file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/accounting/servicedef/services_clearcommerce.xml
